"Notes"	"Age of Mother Year"	"Age of Mother Year Code"	"Plurality or Multiple Birth"	"Plurality or Multiple Birth Code"	"LMP Gestational Age Weekly"	"LMP Gestational Age Weekly Code"	Births
	"16 years"	"16"	"Single"	"1"	"27 weeks"	"27"	37
	"16 years"	"16"	"Single"	"1"	"28 weeks"	"28"	37
	"16 years"	"16"	"Single"	"1"	"29 weeks"	"29"	39
	"16 years"	"16"	"Single"	"1"	"30 weeks"	"30"	59
	"16 years"	"16"	"Single"	"1"	"31 weeks"	"31"	66
	"16 years"	"16"	"Single"	"1"	"32 weeks"	"32"	102
	"16 years"	"16"	"Single"	"1"	"33 weeks"	"33"	134
	"16 years"	"16"	"Single"	"1"	"34 weeks"	"34"	229
	"16 years"	"16"	"Single"	"1"	"35 weeks"	"35"	356
	"16 years"	"16"	"Single"	"1"	"36 weeks"	"36"	549
	"16 years"	"16"	"Single"	"1"	"37 weeks"	"37"	1182
	"16 years"	"16"	"Single"	"1"	"38 weeks"	"38"	1777
	"16 years"	"16"	"Single"	"1"	"39 weeks"	"39"	2930
	"16 years"	"16"	"Single"	"1"	"40 weeks"	"40"	2171
	"16 years"	"16"	"Single"	"1"	"41 weeks"	"41"	839
	"16 years"	"16"	"Single"	"1"	"42 weeks"	"42"	310
	"16 years"	"16"	"Single"	"1"	"43 weeks"	"43"	164
	"16 years"	"16"	"Single"	"1"	"44 weeks"	"44"	83
	"16 years"	"16"	"Single"	"1"	"45 weeks"	"45"	54
	"16 years"	"16"	"Single"	"1"	"46 weeks"	"46"	32
	"16 years"	"16"	"Single"	"1"	"47 weeks"	"47"	22
	"16 years"	"16"	"Single"	"1"	"Unknown or Not Stated"	"99"	14
	"16 years"	"16"	"Twin"	"2"	"20 weeks"	"20"	2
	"16 years"	"16"	"Twin"	"2"	"21 weeks"	"21"	2
	"16 years"	"16"	"Twin"	"2"	"23 weeks"	"23"	2
	"16 years"	"16"	"Twin"	"2"	"24 weeks"	"24"	2
	"16 years"	"16"	"Twin"	"2"	"26 weeks"	"26"	2
	"16 years"	"16"	"Twin"	"2"	"28 weeks"	"28"	4
	"16 years"	"16"	"Twin"	"2"	"29 weeks"	"29"	8
	"16 years"	"16"	"Twin"	"2"	"30 weeks"	"30"	6
	"16 years"	"16"	"Twin"	"2"	"31 weeks"	"31"	6
	"16 years"	"16"	"Twin"	"2"	"32 weeks"	"32"	3
	"16 years"	"16"	"Twin"	"2"	"33 weeks"	"33"	10
	"16 years"	"16"	"Twin"	"2"	"34 weeks"	"34"	26
	"16 years"	"16"	"Twin"	"2"	"35 weeks"	"35"	20
	"16 years"	"16"	"Twin"	"2"	"36 weeks"	"36"	8
	"16 years"	"16"	"Twin"	"2"	"37 weeks"	"37"	17
	"16 years"	"16"	"Twin"	"2"	"38 weeks"	"38"	8
	"16 years"	"16"	"Twin"	"2"	"39 weeks"	"39"	12
	"16 years"	"16"	"Twin"	"2"	"41 weeks"	"41"	2
	"16 years"	"16"	"Twin"	"2"	"43 weeks"	"43"	2
	"16 years"	"16"	"Triplet"	"3"	"19 weeks"	"19"	1
	"16 years"	"16"	"Triplet"	"3"	"21 weeks"	"21"	2
	"17 years"	"17"	"Single"	"1"	"17 weeks"	"17"	2
	"17 years"	"17"	"Single"	"1"	"18 weeks"	"18"	1
	"17 years"	"17"	"Single"	"1"	"19 weeks"	"19"	6
	"17 years"	"17"	"Single"	"1"	"20 weeks"	"20"	8
	"17 years"	"17"	"Single"	"1"	"21 weeks"	"21"	16
	"17 years"	"17"	"Single"	"1"	"22 weeks"	"22"	14
	"17 years"	"17"	"Single"	"1"	"23 weeks"	"23"	19
	"17 years"	"17"	"Single"	"1"	"24 weeks"	"24"	26
	"17 years"	"17"	"Single"	"1"	"25 weeks"	"25"	43
	"17 years"	"17"	"Single"	"1"	"26 weeks"	"26"	36
	"17 years"	"17"	"Single"	"1"	"27 weeks"	"27"	43
	"17 years"	"17"	"Single"	"1"	"28 weeks"	"28"	60
	"17 years"	"17"	"Single"	"1"	"29 weeks"	"29"	81
	"17 years"	"17"	"Single"	"1"	"30 weeks"	"30"	92
	"17 years"	"17"	"Single"	"1"	"31 weeks"	"31"	134
	"17 years"	"17"	"Single"	"1"	"32 weeks"	"32"	165
	"17 years"	"17"	"Single"	"1"	"33 weeks"	"33"	280
	"17 years"	"17"	"Single"	"1"	"34 weeks"	"34"	420
	"17 years"	"17"	"Single"	"1"	"35 weeks"	"35"	627
	"17 years"	"17"	"Single"	"1"	"36 weeks"	"36"	1081
	"17 years"	"17"	"Single"	"1"	"37 weeks"	"37"	2060
	"17 years"	"17"	"Single"	"1"	"38 weeks"	"38"	3442
	"17 years"	"17"	"Single"	"1"	"39 weeks"	"39"	5985
	"17 years"	"17"	"Single"	"1"	"40 weeks"	"40"	4324
	"17 years"	"17"	"Single"	"1"	"41 weeks"	"41"	1709
	"17 years"	"17"	"Single"	"1"	"42 weeks"	"42"	646
	"17 years"	"17"	"Single"	"1"	"43 weeks"	"43"	328
	"17 years"	"17"	"Single"	"1"	"44 weeks"	"44"	216
	"17 years"	"17"	"Single"	"1"	"45 weeks"	"45"	120
	"17 years"	"17"	"Single"	"1"	"46 weeks"	"46"	57
	"17 years"	"17"	"Single"	"1"	"47 weeks"	"47"	46
	"17 years"	"17"	"Single"	"1"	"Unknown or Not Stated"	"99"	24
	"17 years"	"17"	"Twin"	"2"	"17 weeks"	"17"	2
	"17 years"	"17"	"Twin"	"2"	"19 weeks"	"19"	2
	"17 years"	"17"	"Twin"	"2"	"20 weeks"	"20"	2
	"17 years"	"17"	"Twin"	"2"	"21 weeks"	"21"	1
	"17 years"	"17"	"Twin"	"2"	"22 weeks"	"22"	2
	"17 years"	"17"	"Twin"	"2"	"23 weeks"	"23"	2
	"17 years"	"17"	"Twin"	"2"	"24 weeks"	"24"	2
	"17 years"	"17"	"Twin"	"2"	"25 weeks"	"25"	6
	"17 years"	"17"	"Twin"	"2"	"26 weeks"	"26"	6
	"17 years"	"17"	"Twin"	"2"	"27 weeks"	"27"	6
	"17 years"	"17"	"Twin"	"2"	"28 weeks"	"28"	6
	"17 years"	"17"	"Twin"	"2"	"29 weeks"	"29"	4
	"17 years"	"17"	"Twin"	"2"	"30 weeks"	"30"	9
	"17 years"	"17"	"Twin"	"2"	"31 weeks"	"31"	11
	"17 years"	"17"	"Twin"	"2"	"32 weeks"	"32"	26
	"17 years"	"17"	"Twin"	"2"	"33 weeks"	"33"	24
	"17 years"	"17"	"Twin"	"2"	"34 weeks"	"34"	49
	"17 years"	"17"	"Twin"	"2"	"35 weeks"	"35"	34
	"17 years"	"17"	"Twin"	"2"	"36 weeks"	"36"	45
	"17 years"	"17"	"Twin"	"2"	"37 weeks"	"37"	50
	"17 years"	"17"	"Twin"	"2"	"38 weeks"	"38"	19
	"17 years"	"17"	"Twin"	"2"	"39 weeks"	"39"	14
	"17 years"	"17"	"Twin"	"2"	"40 weeks"	"40"	6
	"17 years"	"17"	"Twin"	"2"	"41 weeks"	"41"	6
	"17 years"	"17"	"Twin"	"2"	"42 weeks"	"42"	4
	"17 years"	"17"	"Triplet"	"3"	"25 weeks"	"25"	3
	"17 years"	"17"	"Triplet"	"3"	"31 weeks"	"31"	3
	"17 years"	"17"	"Triplet"	"3"	"32 weeks"	"32"	3
	"18 years"	"18"	"Single"	"1"	"17 weeks"	"17"	2
	"18 years"	"18"	"Single"	"1"	"18 weeks"	"18"	12
	"18 years"	"18"	"Single"	"1"	"19 weeks"	"19"	7
	"18 years"	"18"	"Single"	"1"	"20 weeks"	"20"	10
	"18 years"	"18"	"Single"	"1"	"21 weeks"	"21"	16
	"18 years"	"18"	"Single"	"1"	"22 weeks"	"22"	20
	"18 years"	"18"	"Single"	"1"	"23 weeks"	"23"	44
	"18 years"	"18"	"Single"	"1"	"24 weeks"	"24"	50
	"18 years"	"18"	"Single"	"1"	"25 weeks"	"25"	50
	"18 years"	"18"	"Single"	"1"	"26 weeks"	"26"	57
	"18 years"	"18"	"Single"	"1"	"27 weeks"	"27"	63
	"18 years"	"18"	"Single"	"1"	"28 weeks"	"28"	126
	"18 years"	"18"	"Single"	"1"	"29 weeks"	"29"	132
	"18 years"	"18"	"Single"	"1"	"30 weeks"	"30"	134
	"18 years"	"18"	"Single"	"1"	"31 weeks"	"31"	213
	"18 years"	"18"	"Single"	"1"	"32 weeks"	"32"	297
	"18 years"	"18"	"Single"	"1"	"33 weeks"	"33"	424
	"18 years"	"18"	"Single"	"1"	"34 weeks"	"34"	736
	"18 years"	"18"	"Single"	"1"	"35 weeks"	"35"	1155
	"18 years"	"18"	"Single"	"1"	"36 weeks"	"36"	1888
	"18 years"	"18"	"Single"	"1"	"37 weeks"	"37"	4072
	"18 years"	"18"	"Single"	"1"	"38 weeks"	"38"	6693
	"18 years"	"18"	"Single"	"1"	"39 weeks"	"39"	11629
	"18 years"	"18"	"Single"	"1"	"40 weeks"	"40"	8334
	"18 years"	"18"	"Single"	"1"	"41 weeks"	"41"	3408
	"18 years"	"18"	"Single"	"1"	"42 weeks"	"42"	1210
	"18 years"	"18"	"Single"	"1"	"43 weeks"	"43"	723
	"18 years"	"18"	"Single"	"1"	"44 weeks"	"44"	382
	"18 years"	"18"	"Single"	"1"	"45 weeks"	"45"	215
	"18 years"	"18"	"Single"	"1"	"46 weeks"	"46"	129
	"18 years"	"18"	"Single"	"1"	"47 weeks"	"47"	88
	"18 years"	"18"	"Single"	"1"	"Unknown or Not Stated"	"99"	32
	"18 years"	"18"	"Twin"	"2"	"18 weeks"	"18"	2
	"18 years"	"18"	"Twin"	"2"	"19 weeks"	"19"	1
	"18 years"	"18"	"Twin"	"2"	"20 weeks"	"20"	8
	"18 years"	"18"	"Twin"	"2"	"21 weeks"	"21"	8
	"18 years"	"18"	"Twin"	"2"	"22 weeks"	"22"	6
	"18 years"	"18"	"Twin"	"2"	"23 weeks"	"23"	7
	"18 years"	"18"	"Twin"	"2"	"24 weeks"	"24"	10
	"18 years"	"18"	"Twin"	"2"	"25 weeks"	"25"	5
	"18 years"	"18"	"Twin"	"2"	"26 weeks"	"26"	5
	"18 years"	"18"	"Twin"	"2"	"27 weeks"	"27"	12
	"18 years"	"18"	"Twin"	"2"	"28 weeks"	"28"	6
	"18 years"	"18"	"Twin"	"2"	"29 weeks"	"29"	14
	"18 years"	"18"	"Twin"	"2"	"30 weeks"	"30"	25
	"18 years"	"18"	"Twin"	"2"	"31 weeks"	"31"	14
	"18 years"	"18"	"Twin"	"2"	"32 weeks"	"32"	41
	"18 years"	"18"	"Twin"	"2"	"33 weeks"	"33"	33
	"18 years"	"18"	"Twin"	"2"	"34 weeks"	"34"	87
	"18 years"	"18"	"Twin"	"2"	"35 weeks"	"35"	77
	"18 years"	"18"	"Twin"	"2"	"36 weeks"	"36"	103
	"18 years"	"18"	"Twin"	"2"	"37 weeks"	"37"	87
	"18 years"	"18"	"Twin"	"2"	"38 weeks"	"38"	93
	"18 years"	"18"	"Twin"	"2"	"39 weeks"	"39"	29
	"18 years"	"18"	"Twin"	"2"	"40 weeks"	"40"	8
	"18 years"	"18"	"Twin"	"2"	"41 weeks"	"41"	15
	"18 years"	"18"	"Twin"	"2"	"42 weeks"	"42"	11
	"18 years"	"18"	"Twin"	"2"	"43 weeks"	"43"	2
	"18 years"	"18"	"Twin"	"2"	"44 weeks"	"44"	2
	"18 years"	"18"	"Triplet"	"3"	"27 weeks"	"27"	3
	"18 years"	"18"	"Triplet"	"3"	"30 weeks"	"30"	3
	"19 years"	"19"	"Single"	"1"	"17 weeks"	"17"	2
	"19 years"	"19"	"Single"	"1"	"18 weeks"	"18"	9
	"19 years"	"19"	"Single"	"1"	"19 weeks"	"19"	15
	"19 years"	"19"	"Single"	"1"	"20 weeks"	"20"	22
	"19 years"	"19"	"Single"	"1"	"21 weeks"	"21"	31
	"19 years"	"19"	"Single"	"1"	"22 weeks"	"22"	31
	"19 years"	"19"	"Single"	"1"	"23 weeks"	"23"	46
	"19 years"	"19"	"Single"	"1"	"24 weeks"	"24"	82
	"19 years"	"19"	"Single"	"1"	"25 weeks"	"25"	92
	"19 years"	"19"	"Single"	"1"	"26 weeks"	"26"	94
	"19 years"	"19"	"Single"	"1"	"27 weeks"	"27"	119
	"19 years"	"19"	"Single"	"1"	"28 weeks"	"28"	149
	"19 years"	"19"	"Single"	"1"	"29 weeks"	"29"	199
	"19 years"	"19"	"Single"	"1"	"30 weeks"	"30"	234
	"19 years"	"19"	"Single"	"1"	"31 weeks"	"31"	325
	"19 years"	"19"	"Single"	"1"	"32 weeks"	"32"	452
	"19 years"	"19"	"Single"	"1"	"33 weeks"	"33"	704
	"19 years"	"19"	"Single"	"1"	"34 weeks"	"34"	1173
	"19 years"	"19"	"Single"	"1"	"35 weeks"	"35"	1892
	"19 years"	"19"	"Single"	"1"	"36 weeks"	"36"	3110
	"19 years"	"19"	"Single"	"1"	"37 weeks"	"37"	7149
	"19 years"	"19"	"Single"	"1"	"38 weeks"	"38"	11862
	"19 years"	"19"	"Single"	"1"	"39 weeks"	"39"	21057
	"19 years"	"19"	"Single"	"1"	"40 weeks"	"40"	15151
	"19 years"	"19"	"Single"	"1"	"41 weeks"	"41"	6110
	"19 years"	"19"	"Single"	"1"	"42 weeks"	"42"	2227
	"19 years"	"19"	"Single"	"1"	"43 weeks"	"43"	1229
	"19 years"	"19"	"Single"	"1"	"44 weeks"	"44"	691
	"19 years"	"19"	"Single"	"1"	"45 weeks"	"45"	393
	"19 years"	"19"	"Single"	"1"	"46 weeks"	"46"	227
	"19 years"	"19"	"Single"	"1"	"47 weeks"	"47"	202
	"19 years"	"19"	"Single"	"1"	"Unknown or Not Stated"	"99"	54
	"19 years"	"19"	"Twin"	"2"	"19 weeks"	"19"	4
	"19 years"	"19"	"Twin"	"2"	"20 weeks"	"20"	3
	"19 years"	"19"	"Twin"	"2"	"21 weeks"	"21"	5
	"19 years"	"19"	"Twin"	"2"	"22 weeks"	"22"	4
	"19 years"	"19"	"Twin"	"2"	"23 weeks"	"23"	8
	"19 years"	"19"	"Twin"	"2"	"24 weeks"	"24"	9
	"19 years"	"19"	"Twin"	"2"	"25 weeks"	"25"	11
	"19 years"	"19"	"Twin"	"2"	"26 weeks"	"26"	21
	"19 years"	"19"	"Twin"	"2"	"27 weeks"	"27"	9
	"19 years"	"19"	"Twin"	"2"	"28 weeks"	"28"	17
	"19 years"	"19"	"Twin"	"2"	"29 weeks"	"29"	28
	"19 years"	"19"	"Twin"	"2"	"30 weeks"	"30"	43
	"19 years"	"19"	"Twin"	"2"	"31 weeks"	"31"	39
	"19 years"	"19"	"Twin"	"2"	"32 weeks"	"32"	68
	"19 years"	"19"	"Twin"	"2"	"33 weeks"	"33"	84
	"19 years"	"19"	"Twin"	"2"	"34 weeks"	"34"	121
	"19 years"	"19"	"Twin"	"2"	"35 weeks"	"35"	129
	"19 years"	"19"	"Twin"	"2"	"36 weeks"	"36"	195
	"19 years"	"19"	"Twin"	"2"	"37 weeks"	"37"	173
	"19 years"	"19"	"Twin"	"2"	"38 weeks"	"38"	136
	"19 years"	"19"	"Twin"	"2"	"39 weeks"	"39"	49
	"19 years"	"19"	"Twin"	"2"	"40 weeks"	"40"	37
	"19 years"	"19"	"Twin"	"2"	"41 weeks"	"41"	8
	"19 years"	"19"	"Twin"	"2"	"42 weeks"	"42"	12
	"19 years"	"19"	"Twin"	"2"	"43 weeks"	"43"	10
	"19 years"	"19"	"Twin"	"2"	"44 weeks"	"44"	2
	"19 years"	"19"	"Twin"	"2"	"45 weeks"	"45"	2
	"19 years"	"19"	"Twin"	"2"	"46 weeks"	"46"	2
	"19 years"	"19"	"Twin"	"2"	"47 weeks"	"47"	6
	"19 years"	"19"	"Triplet"	"3"	"18 weeks"	"18"	2
	"19 years"	"19"	"Triplet"	"3"	"20 weeks"	"20"	2
	"19 years"	"19"	"Triplet"	"3"	"26 weeks"	"26"	3
	"19 years"	"19"	"Triplet"	"3"	"28 weeks"	"28"	3
	"19 years"	"19"	"Triplet"	"3"	"32 weeks"	"32"	3
	"19 years"	"19"	"Triplet"	"3"	"35 weeks"	"35"	3
	"19 years"	"19"	"Triplet"	"3"	"36 weeks"	"36"	3
	"19 years"	"19"	"Triplet"	"3"	"40 weeks"	"40"	1
	"20 years"	"20"	"Single"	"1"	"17 weeks"	"17"	11
	"20 years"	"20"	"Single"	"1"	"18 weeks"	"18"	14
	"20 years"	"20"	"Single"	"1"	"19 weeks"	"19"	21
	"20 years"	"20"	"Single"	"1"	"20 weeks"	"20"	23
	"20 years"	"20"	"Single"	"1"	"21 weeks"	"21"	30
	"20 years"	"20"	"Single"	"1"	"22 weeks"	"22"	45
	"20 years"	"20"	"Single"	"1"	"23 weeks"	"23"	68
	"20 years"	"20"	"Single"	"1"	"24 weeks"	"24"	88
	"20 years"	"20"	"Single"	"1"	"25 weeks"	"25"	100
	"20 years"	"20"	"Single"	"1"	"26 weeks"	"26"	133
	"20 years"	"20"	"Single"	"1"	"27 weeks"	"27"	149
	"20 years"	"20"	"Single"	"1"	"28 weeks"	"28"	188
	"20 years"	"20"	"Single"	"1"	"29 weeks"	"29"	208
	"20 years"	"20"	"Single"	"1"	"30 weeks"	"30"	312
	"20 years"	"20"	"Single"	"1"	"31 weeks"	"31"	408
	"20 years"	"20"	"Single"	"1"	"32 weeks"	"32"	588
	"20 years"	"20"	"Single"	"1"	"33 weeks"	"33"	838
	"20 years"	"20"	"Single"	"1"	"34 weeks"	"34"	1442
	"20 years"	"20"	"Single"	"1"	"35 weeks"	"35"	2265
	"20 years"	"20"	"Single"	"1"	"36 weeks"	"36"	4245
	"20 years"	"20"	"Single"	"1"	"37 weeks"	"37"	9199
	"20 years"	"20"	"Single"	"1"	"38 weeks"	"38"	15905
	"20 years"	"20"	"Single"	"1"	"39 weeks"	"39"	28869
	"20 years"	"20"	"Single"	"1"	"40 weeks"	"40"	19772
	"20 years"	"20"	"Single"	"1"	"41 weeks"	"41"	8129
	"20 years"	"20"	"Single"	"1"	"42 weeks"	"42"	2975
	"20 years"	"20"	"Single"	"1"	"43 weeks"	"43"	1716
